12383330,"REPAIR      ",2025-03-05 16:23:00,"CLOSED      ","CLOSED      ","MRCBN       ","SPRINTER    ","002-011-003 ","Seat Belt & Retainer Assembly                               ",<Complaint>Seatbelt</Complaint><Cause>Check van find driver seatbelt latch not working </Cause><Correction>Remove seat belt latch and replace with a new seat belt latch on van but it’s still saying that the seatbelt is malfunctioning </Correction><Estimate></Estimate><Notes>This van need to go at the dealership so that all the module for the seatbelt drive side can be check </Notes>,"LABOR       ",1.000000,0.000000,110.000000,110.000000
12383330,"REPAIR      ",2025-03-05 16:23:00,"CLOSED      ","CLOSED      ","MRCBN       ","SPRINTER    ","002-011-003 ","Seat Belt & Retainer Assembly                               ",<Complaint>Seatbelt</Complaint><Cause>Check van find driver seatbelt latch not working </Cause><Correction>Remove seat belt latch and replace with a new seat belt latch on van but it’s still saying that the seatbelt is malfunctioning </Correction><Estimate></Estimate><Notes>This van need to go at the dealership so that all the module for the seatbelt drive side can be check </Notes>,"PART        ",0.000000,1.000000,369.700000,369.700000
12383330,"REPAIR      ",2025-03-05 16:23:00,"CLOSED      ","CLOSED      ","MRCBN       ","SPRINTER    ","002-011-003 ","Seat Belt & Retainer Assembly                               ",<Complaint>Seatbelt</Complaint><Cause>Check van find driver seatbelt latch not working </Cause><Correction>Remove seat belt latch and replace with a new seat belt latch on van but it’s still saying that the seatbelt is malfunctioning </Correction><Estimate></Estimate><Notes>This van need to go at the dealership so that all the module for the seatbelt drive side can be check </Notes>,"PART        ",0.000000,1.000000,142.100000,142.100000
12482815,"REPAIR      ",2025-03-05 04:17:00,"CLOSED      ","CLOSED      ","MRCBN       ","SPRINTER    ","002-011-003 ","Seat Belt & Retainer Assembly                               ","<Complaint>Seat belt buckle open circuit </Complaint><Cause>Faulty buckle </Cause><Correction>tech replaced seat belt latch driver side, reset codes. no codes returned after repair , repair successful </Correction><Estimate></Estimate><Notes>3/4/25 tech replaced seat belt latch driver side, reset codes. no codes returned after repair , repair successful </Notes>","LABOR       ",1.000000,0.000000,110.000000,110.000000
12482815,"REPAIR      ",2025-03-05 04:17:00,"CLOSED      ","CLOSED      ","MRCBN       ","SPRINTER    ","002-011-003 ","Seat Belt & Retainer Assembly                               ","<Complaint>Seat belt buckle open circuit </Complaint><Cause>Faulty buckle </Cause><Correction>tech replaced seat belt latch driver side, reset codes. no codes returned after repair , repair successful </Correction><Estimate></Estimate><Notes>3/4/25 tech replaced seat belt latch driver side, reset codes. no codes returned after repair , repair successful </Notes>","PART        ",0.000000,1.000000,134.850000,134.850000
12482815,"REPAIR      ",2025-03-05 04:17:00,"CLOSED      ","CLOSED      ","MRCBN       ","SPRINTER    ","002-011-003 ","Seat Belt & Retainer Assembly                               ","<Complaint>Seat belt buckle open circuit </Complaint><Cause>Faulty buckle </Cause><Correction>tech replaced seat belt latch driver side, reset codes. no codes returned after repair , repair successful </Correction><Estimate></Estimate><Notes>3/4/25 tech replaced seat belt latch driver side, reset codes. no codes returned after repair , repair successful </Notes>","SERVICES    ",0.000000,1.000000,43.690000,43.690000
12482815,"REPAIR      ",2025-03-05 04:17:00,"CLOSED      ","CLOSED      ","MRCBN       ","SPRINTER    ","002-011-003 ","Seat Belt & Retainer Assembly                               ","<Complaint>Seat belt buckle open circuit </Complaint><Cause>Faulty buckle </Cause><Correction>tech replaced seat belt latch driver side, reset codes. no codes returned after repair , repair successful </Correction><Estimate></Estimate><Notes>3/4/25 tech replaced seat belt latch driver side, reset codes. no codes returned after repair , repair successful </Notes>","LABOR       ",1.500000,0.000000,110.000000,165.000000
12493669,"REPAIR      ",2025-03-02 19:41:00,"CLOSED      ","CLOSED      ","MRCBN       ","SPRINTER    ","002-011-003 ","Seat Belt & Retainer Assembly                               ",<Complaint>Replace driver seat belt and buckle </Complaint><Cause>Replaced driver seatbelt and buckle</Cause><Correction>Replaced driver seatbelt and buckle</Correction><Estimate></Estimate><Notes>Replaced driver seatbelt and buckle retest ok</Notes>,"LABOR       ",1.000000,0.000000,110.000000,110.000000
12493669,"REPAIR      ",2025-03-02 19:41:00,"CLOSED      ","CLOSED      ","MRCBN       ","SPRINTER    ","002-011-003 ","Seat Belt & Retainer Assembly                               ",<Complaint>Replace driver seat belt and buckle </Complaint><Cause>Replaced driver seatbelt and buckle</Cause><Correction>Replaced driver seatbelt and buckle</Correction><Estimate></Estimate><Notes>Replaced driver seatbelt and buckle retest ok</Notes>,"PART        ",0.000000,1.000000,102.300000,102.300000
12493669,"REPAIR      ",2025-03-02 19:41:00,"CLOSED      ","CLOSED      ","MRCBN       ","SPRINTER    ","002-011-003 ","Seat Belt & Retainer Assembly                               ",<Complaint>Replace driver seat belt and buckle </Complaint><Cause>Replaced driver seatbelt and buckle</Cause><Correction>Replaced driver seatbelt and buckle</Correction><Estimate></Estimate><Notes>Replaced driver seatbelt and buckle retest ok</Notes>,"PART        ",0.000000,1.000000,300.220000,300.220000
12499855,"REPAIR      ",2025-03-03 08:43:00,"CLOSED      ","CLOSED      ","MRCBN       ","SPRINTER    ","002-011-003 ","Seat Belt & Retainer Assembly                               ",<Correction>Replace seatbelt buckle</Correction><Notes></Notes><Cause>Casing missing off of buckle</Cause><Complaint>Seatbelt buckle broken</Complaint><CauseOfRepair></CauseOfRepair>,"PART        ",0.000000,1.000000,124.270000,124.270000
